 ,"Document Name 
(title_location_year published)",Date Published,Resource Type,Organization,Copyright,"Geographical Area -
NATIONAL","Geographical Area -
PROVINCIAL / STATE","Geographical Area -
REGIONAL",Forest Type,BEC Zone,Practice,Value,Technique,Technique 2,Research Forest,BECZone_Subzone_variant,Tree Species,Wildlife Species,Habitat,Equipment,Forest Products,Tenure,Zonation,Stand Development,Disturbance Type,Notes,Is the document uploaded to Google Drive?
Canadian forests are more conducive to high-severity fires in recent decades,Canadian Forests are More Conductive to High Severity Fires in Recent Decades_Canada_2025,2025,Peer-reviewed literature,University of British Columbia,,Canada,British Columbia,,"Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests","Coastal western hemlock
 
CDF
Coastal douglas fir 

BWBS
Boreal white and black spruce 

SWB
Spruce willow birch 

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir 

PP
Ponderosa pine 

MS
Montane spruce 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MH
Montane hemlock ",Waste/biomass/fuel management ,"Wildfire risk

Climate change resilience","Models

Fuel management 

Prescribed fire",,,,,,,,,,,Natural disturbances,Fire,,
"Long-term soil nutrient and understory plant responses to post-fire
rehabilitation in a lodgepole pine forest",Long Term Soil Nutrient and Understory Plant Responses to Post Fire Rehab in Pl Forest_USA_2024,2024,Peer-reviewed literature,United States Department of Agriculture Forest Service,,USA,Colorado,,"Sub-boreal forests

Montane and subalpine forests","SBPS
Sub-boreal pine spruce

MS
Montane spruce
",Reforestation,"Wildfire

Ecosystem heatlh",Restoration,"Mulching

Biochar",,,"Pl
Lodgepole pine
Pinus contorta",,,,,,,Natural disturbances,"Fire

Mountain pine beetle

Bark beetle",,
"The 2023 wildfires in British Columbia, Canada: impacts,
drivers, and transformations to coexist with wildfire",Wildfires in BC - Impacts - Drivers - and Transformations to Coexist with Wildfire_BC_2025,2025,"Peer-reviewed literature

Decision aid (best management practices)",University of British Columbia,,Canada,"British Columbia

South interior BC

Northern BC","Okanagan - Kelowna

Fraser Canyon

Shuswap

Fort Nelson","Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests","CWH
Coastal western hemlock
 
CDF
Coastal douglas fir 

BWBS
Boreal white and black spruce 

SWB
Spruce willow birch 

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir 

PP
Ponderosa pine 

MS
Montane spruce 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MH
Montane hemlock ","Waste/biomass/fuel management 

Adaptive management 

","Wildfire

Ecosystem health 

Carbon

Climate change resilience 

Economic","Prescribed fire

Cultural fire

Fuel management

Waste management ","Herbicide

",,,"Pl
Lodgepole pine
Pinus contorta

ALL tree species",,,,,,,Natural disturbances,Fire,,
"Crowded and Thirsty: Fire Exclusion Leads to 
Greater Drought Sensitivity in Mixed-Conifer Forests",Fire Exclusion Leads to Greater Drought Sensitivity in Mixed Conifer Forests_North America_2020,2020,Peer-reviewed literature,United States Department of Agriculture Forest Service - Pacific Northwest Research Station,,USA,Oregon ,,"Coastal forests

Coastal montane forests

Wet interior forests

Sub-boreal forests

Montane and subalpine forests

Dry interior forests




","CWH
Coastal western hemlock

ICH
Interior Cedar Hemlock

SBPS
Sub-boreal pine-spruce 

MS
Montane spruce 

PP
Ponderosa pine 
 ",Restoration,"Wildfire risk

Hydrology","Prescribed burning

Thinning",,,,"Bg
Grand fir
Abies grandis

Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa

",,,,,,,Natural disturbances,"Fire

Drought

Bark beetle",,
"To Masticate or Not: Useful Tips for Treating 
Forest, Woodland, and Shrubland Vegetation","To Masticate or Not - Tips for Treating Forests, Woodland, and Shrubland Vegetation_North America_2018",2018,"Technical report

Decision aid",United States Department of Agriculture Forest Service - Rocky Mountain Research Station ,,"Canada

USA",,,"Dry interior forests

Montane and subalpine forests

","SBPS
Sub-boreal pine spruce

MS
Montane spruce

PP
Ponderosa pine","Waste/biomass/fuel management

Site preparation ","Ecosystem health

Economic

Wildlife","Fuel management 

Thinning

Pre-commercial thinning

Waste management 

Prescribed fire

Biomass product","Mastication

Mulching",,,"Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa","Deer mouse

Squirrel ",,Masticator,,,,"Natural disturbance

Silvics",Bark beetle,,
Reburn in the Rain Shadow,Reburn in the Rain Shadow_USA_2018,2018,Peer-reviewed literature,United States Department of Agriculture Forest Service - Pacific Northwest Research Station,,USA,"Washington

Oregon",,Dry interior forests,"IDF
Interior douglas fir

PP
Ponderosa pine","Waste/biomass/fuel management

Restoration

Harvest","Wildfire risk

Ecosystem health","Fuel management 

Prescribed fire

Restoration

Thinning",,,,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,Natural disturbance,Fire,,
"Harvesting on Mule Deer Winter Range under General 
Wildlife Measures for Shallow & Moderate Snowpack 
Zones: Approach and Lessons Learned following a Second 
Harvest Entry after 30 Year",Harvesting on Mule Deer Winter Range for Shallow and Moderate Snowpack - Approcahes and Lessons Learned_BC_2015,2015,Technical report,University of British Columbia,,Canada,"British Columbia

Central interior BC

","Cariboo
Cariboo-Wiliams Lake
",Dry interior forests,"IDF
Interior douglas fir","Harvest

Adaptive management","Wildlife

Timber

Economic","Variable retention

Thinning

Pre-commercial thinning

Monitoring",Manual brushing,Alex Fraser Research Forest,"IDF_xm

IDF_dk_3","Fd
Douglas fir
Pseudotsuga menziesii

At
Trembling aspen
Populus tremuloides

EP
Paper birch
Betula papyrifera

Pl
Lodgepole pine
Pinus contorta",Mule deer,,Grapple equipment ,"Veneer

Sawlog

Pulp",,"UWR
Ungulate winter range","Natural disturbance

Site productivity

Growth","Bark beetle

Mountain pine beetle",,
"Best Management Practices for 
Improving Survival for Planted Douglas-fir 
in The Cariboo Natural Resource Region","BMP for Improving Survival for Planted Fd_Cariboo_2023

Publication year is not confirmed",2023,Decision aid,BC Ministry of Forests,,Canada,"British Columbia

Central interior BC

",Cariboo,"Dry interior forests

Wet interior forests

Montane and subalpine forests

Sub-boreal forests","IDF
Interior douglas fir

PP
Ponderosa pine

SBS
Sub-boreal spruce

ICH
Interior cedar hemlock

MS
Montane spruce

ESSF
Engelmann spruce subalpine fir","Harvest

Site preparation

Intervention","Forest health

Ecosystem health","Variable retention

Planting

Brushing

Monitoring

Regeneration cut

Removal cut

Retention system",,,,"Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,Natural disturbance,"Drought

Frost",,
"Reforesting Dry Sites in the 
Thompson Okanagan Natural 
Resource Region
",Reforesting Dry Sites_Thompson Okanagan_2020,2020,Decision aid (best management practices),"FORSITE Forest Management Specialists

BC Ministry of Forests",,Canada,"British Columbia

South interior BC",Thompson - Okanagan,"Wet interior forests

Coastal forests

Montane and subalpine forests

Dry interior forests

Sub-boreal forests","ESSF
Engelmann spruce subalpine fir 

MS
Montane spruce

ICH
Interior Cedar Hemlock 

IDF
Interior douglas fir 

SBPS
Sub-boreal pine-spruce 

SBS
Sub-boreal spruce 

PP
Ponderosa pine","Site preparation

Reforestation","Hydrology

Forest health

Economic","Planting

Varibale retention

Monitoring",,,"IDF_xh

IDF_dk

IDF_mw

MS_xk","Fd
Douglas fir
Pseudotsuga menziesii",,,"Ripper plow

Disc trencher",,,,"Natural disturbance

Competition","Drought

",,
"Alternative Silvicultural Systems and Harvesting 
Techniques for Caribou Habitat
",Alt Silv Systems and Harvesting Techniques for Caribou Habitat_Alberta and British Columbia_2022,2022,Case study (research report),FORCORP Solutions,,Canada,"British Columbia
Central interior BC

Alberta
Northwest AB
West-central AB

Quebec","Chilcotin Plateau

Cariboo Plateau - Quesnel Highland

","Sub-boreal forests

Montane and subalpine forests","SBPS
Sub-boreal pine-spruce 

MS
Montane spruce

ESSF
Engelmann spruce subalpine fir ","Harvest

Site preparation

Adaptive management ","Wildlife

Ecosystem health

Economic

Climate change resilience","Variable retention

Regeneration cut

Removal cut

Thinning

Commercial thinning

Pre-commercial thinning

Planting

Pruning

Prescribed fire",Herbicide,,"SPBS_xc

SBPS_dc

SBPS_mc

MS_xv

ESSF_wk_1

ESSF_wc_3","Pl
Lodgepole pine
Pinus contorta

Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa

Sb
Black spruce
Picea mariana

Sw
White spruce
Picea glauca

Acb
Balsam poplar
Populus balsmifera

EP
Paper birch
Betula papyrifera

At
Trembling aspen
Populus tremuloides","Caribou

White-tailed deer

Mule deer",,,,,"UWR
Ungulate winter range","Competition

Natural disturbance",,,
"Influences of clearcut harvesting and fertilization on structure and function of the soil food web in ICH forests of southern interior British Columbia


**Review a second time",Influences of CC Harvesting and Fertilization on Structure and Function of Soil Food Web in ICH Forests_British Columbia_2001,2001,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC","Shuswap

Thompson - Okanagan",Wet interior forests,"ICH
Interior cedar hemlock",Harvest,Forest health,Planting,,,"ICH_mw_2,3","Fd
Douglas fir
Pseudotsuga menziesii

EP
Paper birch
Betula papyrifera

Cw
Western redcedar 
Thuja plicata

Pw
Western white pine
Pinus monticola

Lw
Western larch
Larix occidentalis

Act
Black cottonwood
Populus trichocarpa",,,,,,,Structure,,,
The shelterwood silvicultural system in British Columbia – A practitioner’s guide.Part 1: Implementation considerations,Shelterwood Silvicultural System - A Practitioner's Guide Part 1 - Implementation Considerations_British Columbia_2011,2011,Extension note,Forest Research Extension Partnership (FORREX),,Canada,British Columbia,,"Dry interior forests

Wet interior forests

Coastal forests

Coastal montane forests

","CWH
Coastal western hemlock

ICH
Interior cedar hemlock

IDF
Interior douglas fir",Harvest,Forest health,"Regeneration cut

Removal cut 

Variable retention

Waste management 

Thinning",,,,"Cw
Western redcedar 
Thuja plicata

Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

",,,,Non-timber forest products,"Area-based

Woodlot (area-based)",,"Natural disturbance

Silvics","Windthrow

Bark beetle

Root rot

Dwarf mistletoe",,
"The shelterwood silvicultural 
system in British Columbia – 
A practitioner’s guide.
Part 2: The interplay of stand dynamics, 
disturbance, and regeneration",Shelterwood Silviculture System - A Practitioner's Guide Part 2 - Interplay of Stand Dynamics Disturbance and Regeneration_British Columbia_2011,2011,Extension note,Forest Research Extension Partnership (FORREX),,Canada,British Columbia,,"Dry interior forests

Montane and subalpine forests","IDF
Interior douglas fir

SBPS
Sub-boreal pine spruce

MS
Montane spruce",Harvest,"Ecosystem health

Forest health","Regeneration cut

Variable retention

",,,,"Fd
Douglas fir
Pseudotsuga menziesii

At
Trembling aspen
Populus tremuloides

EP
Paper birch
Betula papyrifera

Pl
Lodgepole pine
Pinus contorta

Act
Black cottonwood
Populus trichocarpa",,,,,,,"Silvics

Competition

Growth

Structure

Natural disturbance

Site productivity","Fire

Windthrow

Mountain pine beetle",,
"The shelterwood silvicultural 
system in British Columbia – 
A practitioner’s guide.
Part 3: Operational implementation",Shelterwood Silvicultural System - A Practitioner's Guide Part 3 - Operational Implementation_British Columbia_2011,2011,Extension note,Forest Research Extension Partnership (FORREX),,Canada,"British Columbia

Central interior BC

Coastal BC

Central Island BC","Cariboo - Williams lake

Cariboo - Prince George

Fort St. James

Kootenays - Salmo

Vancouver Island - Comox Valley","Sub-boreal forests

Wet interior forests

Coastal forests","SBS
Sub-boreal spruce 

ICH
Interior cedar hemlock

CWH
Coastal western hemlock",Harvest,"Ecosystem health

Timber

Economic","Regeneration cut 

Removal cut 

Variable retention 

Thinning 

Commercial thinning",,,"SBS_dw_1, 3

SBS_wk_1

SBS_mk_1

ICH_mk_3

ICH_dw

CWH_xm

CWH_dm

CWH_vm_1","Fd
Douglas fir
Pseudotsuga menziesii

Se
Engelmann spruce
Picea engelmannii

Pl
Lodgepole pine
Pinus contorta

Cw
Western redcedar 
Thuja plicata

Bl
Subalpine fir
Abies lasiocarpa

EP
Paper birch
Betula papyrifera

Hw
Western hemlock
Tsuga heterophylla

Ss
Sitka spruce
Picea sitchensis

Dr
Red alder
Alnus rubra

",,,"Mechanical falling equipment

Grapple equipment",,,,"Growth

Silvics

Structure

Natural disturbance",Windthrow,,
Seedling response following partial cutting in lodgepole pine forests on caribou winter range in west-central British Columbia,Seedling Response Folloiwng PC in Pl Forests on Caribou Winter Range in West Central BC_British Columbia_2005,2005,Peer reviewed literature,BC Ministry of Forests,,Canada,"British Columbia

Central interior BC",Chilcotin,"Sub-boreal forests

Montane and subalpine forests","SBPS
Sub-boreal pine-spruce

MS
Montane spruce",Harvest,"Timber

Wildlife

Ecosystem health","Regeneration cut

Variable retention

Planting

",,,"SPBS_xc

MS_xv","Pl
Lodgepole pine
Pinus contorta

Se
Engelmann spruce
Picea engelmannii

",Caribou,,,,,"UWR
Ungulate winter range","Growth

Natural disturbances

Silvics

Structure","Frost

Dwarf mistletoe

Mountain pine beetle",,
Using PrognosisBC to Analyze Partial-Cutting Options over a Rotation,Using PrognosisBC to Analyze Partial Cutting Options Over a Rotation_British Columbia_2002,2002,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Kootenays - Nelson,"Wet interior forests

Dry interior forests

Montane and subalpine forests","ICH
Interior cedar hemlock

IDF 
Interior douglas fir

MS
Montane spruce

ESSF
Engelmann spruce subalpine fir ","Harvest

Intervention","Forest health

Ecosystem health

Old growth stand structure

Timber","Variable retention

Models

Regenreation cut

Thinning

Commercial thinning

Pre-commercial thinning",,West Arm Demonstration Forest,ICH_dw,"Cw
Western redcedar 
Thuja plicata

Fd
Douglas fir
Pseudotsuga menziesii

Lw
Western larch
Larix occidentalis

Pw
Western white pine
Pinus monticola

Hw
Western hemlock
Tsuga heterophylla

Bg
Grand fir
Abies grandis
",,,,,,,"Growth

Natural disturbances

Structure

Site productivity

Competition",,,
"Management Strategy for Mule Deer Winter Ranges 
in the Cariboo-Chilcotin Part 1a: Management Plan 
for Shallow and Moderate Snowpack Zones 


",Management Strategy for Mule Deer Winter Ranges Part 1a - Management Plan for Shallow and Modreate Snowpack Zones_Cariboo-Chilcotin_2007,2007,Guidance document (management plan),BC Ministry of Forests,,Canada,"British Columbia

Central interior BC","Cariboo

Chilcotin","Dry interior forests

Sub-boreal forests

Montane and subalpine forests","IDF
Interior douglas fir

SBPS
Sub-boreal pine-spruce 

MS
Montane spruce

SBS
Sub-boreal spruce","Harvest

Intervention

","Hydrology

Wildlife

Old growth stand structure

Forest health

Ecosystem health","Variable retention

Regeneration cut

Thinning

Pre-commercial thinning

Commercial thinning",,,"IDF_dk_3, 4

IDF_dw

IDF_xm

IDF_xw

SBPS_xc

MS_xk

SBS_mh
","Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta",Mule deer,Grassland habitat,,,Woodlot (area-based),"UWR
Ungulate winter range

OGMA
Old growth management area

WHA
Wildlife habitat area","Silvics

Structure

Natural disturbances","Bark beetle

Mountain pine beetle

Western spruve budworm

Root rot",,
Moving Towards Adaptation Strategies in Forest Management - a Starting Place for the West Kootenays,Moving Towards Adaptation Strategies in Forest Management_West Kootenays_2012,2012,"Case study (research report)

Decision aid (best practices)",BC Future Forest Ecosystem Council,,Canada,"British Columbia

South interior BC",Kootenays,"Dry interior forests

Wet interior forests

Montane and subalpine forests

Coastal montane forests

","ICH
Interior cedar hemlock

ESSF
Engelmann spruce subalpine fir

MS
Montane spruce

CWH
Coastal western hemlock

PP
Ponderosa pine","Adaptive management

Harvest

Reforestation

Waste/biomass/fuel management

Intervention","Climate change resilience

Old growth stand structure

Wildfire risk

","Variable retention 

Monitoring

Fuel management

Waste management

Thinning

Pre-commercial thinning",Mulching,,,"Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa

Bg
Grand fir
Abies grandis

Fd
Douglas fir
Pseudotsuga menziesii

Lw
Western larch
Larix occidentalis

Pw
Western white pine
Pinus monticola

Py
Ponderosa pine
Pinus ponderosa",,,,Non-timber forest products,,"OGMA
Old growth management area

WHA
Wildlife habitat area",Natural disturbances,"Fire

Drought

Bark beetle

Mountain pine beetle",,
"Forest Fuel Treatments for the Southern West Kootenays:
A Summary of Experiences in Other Place",Forest Fuel Treatments - A Summary of Experiences_Southern West Kootenays_2019,2019,Case study (research report),Kutenai Nature Investigations Ltd.,,Canada,"British Columbia

South interior BC",Kootenays,Wet interior forests,"ICH
Interior cedar hemlock","Intervention

Restoration

Waste/biomass/fuel management

","Wildfire risk

Ecosystem health

Climate change resilience","Fuel management

Pruning

Thinning

Commercial thinning

Pre-commercial thinning

Variable retention

Prescribed fire

Waste management",,,"ICH_xw

ICH_dw

ICH_mk

ICH_mw

ICH_dm","Fd
Douglas fir
Pseudotsuga menziesii

Py
Ponderosa pine
Pinus ponderosa

Lw
Western larch
Larix occidentalis

Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla",,,,,,,"Natural disturbances

Structure",Fire,,
Applying Resilience Concepts in Forest Management: A Retrospective Simulation Approach ,Applying Resilience Concepts in Forest Management - A Retrospective Simulations Approach_British Columbia_2015,2015,Peer reviewed literature,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Okanagan - Kamloops,"Dry interior forests

Wet interior forests

Montane and subalpine forests","IDF
Interior douglas fir

ICH
Interior cedar hemlock

MS
Montane spruce

ESSF
Engelmann spruce subalpine fir","Adaptive management 

Reforestation

Harvest","Climate change resilience

Timber

Economic

Ecosystem health

Forest health","Planting

Variable retention
",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa

Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Bl
Subalpine fir
Abies lasiocarpa

Sx
Hybrid spruce
Picea engelmannii x glauca (interior)",,,,,Area-basaed,,"Structure

Natural disturbances

Site productivity","Mountain pine beetle

Western spruce budworm",,
Carbon sequestration in managed temperate coniferous forests under climate change ,Carbon Sequestration in Managed Temperate Coniferous Forests Under Climate Change_British Columbia_2015,2015,Peer reviewed literature,"BC Minstry of Forests

University of Melbourne

Portland State University",,Canada,"British Columbia

Central interior BC",Bulkley - Smithers,"Montane and subalpine forests

Wet interior forests

Sub-boreal forests","ESSF
Engelmann spruce subalpine fir

SBS
Sub-boreal spruce

ICH
Interior cedar hemlock",Harvest,"Carbon

Climate change resilience

Wildfire risk","Models

Planting

",,,,"At
Trembling aspen
Populus tremuloides

Acb
Balsam poplar
Populus balsmifera

Sx
Hybrid spruce
Picea engelmannii x glauca (interior)

Pl
Lodgepole pine
Pinus contorta

Hw
Western hemlock
Tsuga heterophylla

Ba
Amabilis fir
Abies amabilis

EP
Paper birch
Betula papyrifera

Bl
Subalpine fir
Abies lasiocarpa",,,,,,,"Growth

Natural disturbances

Site productivity","Fire

Drought",,
Diversifying managed forests to increase resilience,Diversifying Managed Forests to Increase Resilience_British Columbia_2014,2014,Peer reviewed literature,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Thompson - Nicola,"Dry interior forests

Wet interior forests

Montane and subalpine forests","ICH
Interior cedar hemlock

MS
Montane spruce

IDF
Interior douglas fir

ESSF
Engelmann spruce subalpine fir

MH
Montane hemlock","Harvest

Reforestation","Climate change resilience

Timber

Economic

Forest health","Planting

Variable retention

Models
",,,,"Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii

Sx
Hybrid spruce
Picea engelmannii x glauca (interior)

Se
Engelmann spruce
Picea engelmannii

EP
Paper birch
Betula papyrifera

Hm
Mountain hemlock
Tsuga mertensiana

Py
Ponderosa pine
Pinus ponderosa

Bl
Subalpine fir
Abies lasiocarpa

At
Trembling aspen
Populus tremuloides

Lw
Western larch
Larix occidentalis

Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla",,,,,Area-based,,"Natural disturbances

Structure

Site productivity",Mountain pine beetle,,
Uncertainty in adaptation to climate change in forest management,Uncertainty in Adaptation to Climate Change in Forest Management_British Columbia_2010,2010,Case study (research report),"BC Ministry of Forests

University of British Columbia",,Canada,"British Columbia

Cenral interior BC",Cariboo - Quesnel ,"Dry interior forests

Wet interior forests

Montane and subalpine forests

Sub-boreal forests","IDF
Interior douglas fir

ESSF 
Engelmann spruce subalpine fir

ICH
Interior cedar hemlock

MS
Montane spruce

SBPS
Sub-boreal pine spruce

SBS
Sub-boreal spruce

PP
Ponderosa pine","Harvest

Adaptive management","Climate change resilience

Timber","Models

Planting

",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Sx
Hybrid spruce
Picea engelmannii x glauca (interior)

Pl
Lodgepole pine
Pinus contorta

Cw
Western redcedar 
Thuja plicata",,,,,Area-based,,"Natural disurbances

Site productivity

Growth

Structure",Mountain pine beetle,,
"Time for change: Learning from community forests to enhance the resilience of multi-value forestry in British Columbia, Canada ",Learning From Community Forests to Enhance Resilience of Multi-Value Forestry_British Columbia_2020,2020,Peer reviewed literature,"University of British Columbia

Institute of Terrestrial Ecosystems",,Canada,"British Columbia

South interior BC

Central interior BC","Cariboo - Williams Lake

Okanagan - Kamloops

Shuswap - Revelstoke","Dry interior forests

Wet interior forests

Montane and subalpine forests","IDF
Interior douglas fir

MS
Montane spruce

PP
Ponderosa pine

ICH
Interior cedar hemlock

ESSF
Engelmann spruce subalpine fir","Harvest

Intervention

Reforestation","Climate change resilience

Wildfire risk

Forest health

Economic","Monitoring

Variable retention

Fertilizing

Planting

Thinning

Prescribed fire",,,,"Py
Ponderosa pine
Pinus ponderosa",,,,,Community forest (area-based),,"Natural disturbances

Structure","Fire

Drought

Mountain pine beetle",,
The Carbon Conundrum—Fire and Fuel Management in Fire-prone Forests,Carbon Conundrum - Fire and Fuel Management in Fire-Prone Forests_British Columbia_2010,2010,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",,"Dry interior forests

Wet interior forests","ICH
Interior cedar hemlock

IDF
Interior douglas fir

PP
Ponderosa pine","Waste/biomass/fuel management

Harvest

Restoration","Carbon

Climate change resilience

Wildfire risk

Timber","Fuel management

Biomass product

Thinning

Prescribed burn

Restoration",,,,,,,,,,,Natural disturbances,Fire,,
Forest Carbon Information Notes - Reforestation,Forest Carbon Information Notes - Reforestation_British Columbia_2020,2020,Guidance document,Wildlife Tree Committee of BC,,Canada,"British Columbia

Central interior BC

South coast BC","Cariboo

Cariboo - Prince George

Sea-to-Sky Corridor","Montane and subalpine forests

Sub-boreal forests

Coastal forests

Coastal montane forests","ESSF
Engelmann spruce subalpine fir

SBS
Sub-boreal spruce

ICH
Interior cedar hemlock

CWH
Coastal western hemlock

MH
Montane hemlock",Reforestation,"Carbon

Wildfire risk

Economic","Salvage

Planting

Prescribed fire",,,,"Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii",,,,Full fibre utilization,,,"Natural disturbances

Competition","Fire

Mountain pine beetle",,
Forest Carbon Information Notes - Fertilization,Forest Carbon Information Notes - Fertilization_British Columbia_2020,2020,Guidance document,Wildlife Tree Committee of BC,,Canada,British Columbia,,"Dry interior forests

Coastal forests","CHW
Coastal western hemlock

SBS
Sub-boreal spruce",Harvest,"Carbon

Climate change resilience

Timber

Economic","Fertilizing

Biomass product",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Cw
Western redcedar 
Thuja plicata

Ss
Sitka spruce
Picea sitchensis

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) or 
Picea glauca x sitchensis (coastal)

Pl
Lodgepole pine
Pinus contorta

",,,,,,,"Growth

Structure",,,
"Site Preparation Alternatives in the Wet, Cold ESSF: Results from Sicamous Creek",Site Prep Alternative in Wet - Cold  ESSF_Sicamous Creek_2003,2003,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Shiswap - Sicamous,Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir","Site preparation

","Economic

Timber

Ecosystem health","Prescribed fire

Planting

",,,ESSF_wc_2,"Bl
Subalpine fir
Abies lasiocarpa

Se
Engelmann spruce
Picea engelmannii",,,,,,,"Growth

Site productivity

Structure

Natural disturbances

Silvics",Ants,,
"The Opax Mountain Silvicultural Systems Project: Preliminary Results for Managing Complex, Dry Interior Douglas-fir Forests",Opax Mountain Silv Systems Project - Preliminary Results for Managing Dry IDF Forests_British Columbia_2005,2005,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Okanagan - Kamloops,Dry interior forests,"IDF
Interior douglas fir

MS
Montane spruce

PP
Ponderosa pine

BG
Bunchgrass",Harvest,"Timber

Hydrology

Wildfire

Ecosystem health

Wildlife","Variable retention

Planting

Prescribed fire

Patch cutting",,,"IDF_xh_2

IDF_dk_2","Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa

At
Trembling aspen
Populus tremuloides","Mule deer

Moose

Snowshoe hare

Grouse

Woodpecker

Songbirds

Squirrel

Deer mouse

Meadow vole

Shrew



",,,,,"UWR
Ungulate winter range","Natural disturbances

Structure

Silvics","Fire

Drought

Western spruce budworm

Douglas fir tussock moth

Bark beetle

Mountain pine beetle

Root rot

Windthrow

Frost",,
Windthrow in Partially Cut Lodgepole Pine Forests in West-Central British Columbia,Windthrow in Partially Cut Pl Forests in West Central BC_British Columbia_2004,2004,Extension note,BC Ministry of Forests,,Canada,"British Columbia

Central interior BC",Chilcotin Plateau,"Montane and subalpine forests

Sub-boreal forests","MS
Montane spruce

SBPS
Sub-boreal pine spruce",Harvest,"Wildlife

Ecosystem health","Variable retention

Regeneration cut",,,"MS_xv

MS_xv_1

SBPS_xc","Pl
Lodgepole pine
Pinus contorta",Caribou,,,,,"UWR
Ungulate winter range","Natural disturbances

Structure","Windthrow

Mountain pine beetle",,
Mountain Pine Beetle and Salvage Harvesting: Small Stream and Riparian Zone Response in the Sub-Boreal Spruce Zone,MPB and Salvage Harvesting - Small Stream and Riparian Zone Response in SBS Zone_British Columbia_2009,2009,Extension note,BC Ministry of Forests,,Canada,"British Columbia

Central interior BC",Cariboo - Vanderhoof,Sub-boreal forests,"SBS
Sub-boreal spruce","Waste/biomass/fuel management 

Harvest","Hydrology

Timber

Forest health","Waste management

Salvage",,,"SBS_mc
SBS_mc_2,3

SBS_dw
SBS_dw_2,3

SBS_dk","B
Balsam fir
Abies balsamea

Sx
Hybrid spruce
Picea engelmannii x glauca (interior)

Ss
Sitka spruce
Picea sitchensis

Sw
White spruce
Picea glauca

Sb
Black spruce
Picea mariana

Se
Engelmann spruce
Picea engelmannii

Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa

Pw
Western white pine
Pinus monticola
",,Riparian habitat,,,,,"Natural disturbances

Structure","Mountain pine beetle

Windthrow",,
